school_name,meal_date,score,summary,dish_count,dishes
中華中學學校財團法人新北市福瑞斯特高中,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與副菜齊全，搭配均衡。亮點為蒸蛋提供豐富蛋白質，油麥菜清燙保留纖維與礦物質，肉骨茶湯營養保留度佳。副菜打拋粉絲清淡拌製，高纖維蔬菜搭配低加工澱粉食。隱憂為燒烤魚排使營養流失，熱量偏高，建議改良烹調方式。整體屬均衡偏健康的一餐。,6,"[""Q壽喜燒魚排"", ""產銷紫米飯"", ""Q打拋粉絲"", ""Q蒸蛋"", ""肉骨茶湯"", ""油麥菜(產銷履歷)""]"
新北巿坪林區坪林實驗國中,2026-03-31,4,本餐主食、主蛋白、蔬菜、湯品與水果齊全，搭配均衡。亮點為地瓜飯提供纖維，清燙有機青油菜保留礦物質，麻油鮮菇湯營養豐富，保久乳補充鈣質。隱憂為椒鹽魚丁使用高鹽調味料，保久乳脂肪含量較高，建議注意鹽與脂肪的攝取量。整體屬均衡偏健康的一餐。,6,"[""椒鹽魚丁"", ""地瓜飯"", ""玉米肉末干丁"", ""麻油鮮菇湯"", ""有機青油菜"", ""保久乳""]"
新北市三峽區三峽國中,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與水果齊全，搭配較為均衡。亮點為清燙青江菜保留纖維與礦物質、玉米蒸蛋提供蛋白質與纖維、香蕉供應豐富水果營養。然而，隱憂為起司豬排屬加工肉品，熱量高、營養價值較低，建議減少加工食品的攝入。整體屬偏健康的一餐，若能替換主菜為更健康的選擇，將更為理想。,6,"[""起司豬排"", ""胚芽飯"", ""玉米蒸蛋"", ""油腐米粉湯"", ""產銷履歷青江菜"", ""香蕉""]"
新北市三峽區三峽國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與副菜齊全，搭配相當均衡。亮點為多道菜餚選用清淡手法，例如素沙茶粉絲、素芹炒木耳、木耳結頭、素鮮蔬薏仁湯、有機小芥菜等，保留了豐富的纖維與礦物質。另外，肉骨茶湯與酸菜肉絲湯提供了豐富的營養。隱憂為部分菜餚如豉汁燒豬、結菜黑輪高加工高鈉，另外白飯缺乏蛋白質與纖維。整體屬於均衡且清淡的一餐，但仍需要注意控制高加工高鈉的食材。,16,"[""素沙茶粉絲"", ""素番茄油豆腐"", ""素芹炒木耳"", ""豉汁燒豬"", ""麻油雞"", ""白飯"", ""素紫米飯"", ""紫米飯"", ""木耳結頭"", ""番茄蛋豆腐"", ""素鮮蔬薏仁湯"", ""結菜黑輪"", ""蒸蛋"", ""肉骨茶湯"", ""酸菜肉絲湯"", ""有機小芥菜""]"
新北市三峽區中園國小,2026-03-31,4,本餐主食、主蛋白、蔬菜、湯品與水果齊全，搭配均衡。亮點為清燙小芥菜保留纖維與礦物質、茂谷柑提供原型水果營養、豆漿補充植物蛋白與纖維。整體營養均衡，但主菜鳳梨咕咾雞缺乏明確烹飪手法評估，隱憂為可能的高油或高鹽問題，建議注意調味與烹飪手法以達更健康的餐食。,7,"[""鳳梨咕咾雞"", ""胚芽飯"", ""彩蔬蘿蔔糕"", ""味噌豆腐湯"", ""有機小芥菜"", ""茂谷柑"", ""豆漿""]"
新北市三峽區五寮國小,2026-03-31,5,本餐營養均衡度高，主食糙米飯提供纖維與礦物質，主菜彩椒雞丁搭配多色蔬菜，蛋白質與纖維豐富。亮點包含清淡燙菜保留營養、聖女小番茄富含維生素C、多種食材搭配的三絲豆干。隱憂為肉絲加工度較高，肉骨茶包調味略有鹽，建議注意調味料的使用。整體屬高度均衡且清淡的一餐。,6,"[""彩椒雞丁"", ""糙米飯"", ""三絲豆干"", ""肉骨茶湯"", ""有機青油菜"", ""聖女小番茄""]"
新北市三峽區介壽國小,2026-03-31,4,本餐主食、主菜、蔬菜、湯品與副菜齊全，搭配較為均衡。亮點為有機小芥菜清燙保留纖維與礦物質，南瓜豆腐蛋與紅片花椰營養豐富，薑絲海芽湯低熱量且富含礦物質。隱憂為主食白飯缺乏蛋白質與纖維，肉質一般的壽喜燒油脂偏高，鐵板素雞加工度高且營養平衡度較差，蜜汁地瓜添加糖分偏高。整體屬偏健康的一餐，但仍需注意主食的選擇與加工食品的攝入。,10,"[""白飯"", ""壽喜燒"", ""年糕凍腐(素)"", ""南瓜豆腐蛋"", ""紅片花椰"", ""薑絲海芽湯(素)"", ""蜜汁地瓜(素)"", ""鐵板素雞(素)"", ""薑絲海芽湯"", ""有機小芥菜""]"
新北市三峽區北大國小,2026-03-31,4,本餐主食、主蛋白、蔬菜、湯品與水果齊全，搭配均衡。亮點為清燙小芥菜保留纖維與礦物質、茂谷柑提供原型水果營養、豆漿補充植物蛋白與纖維。整體營養均衡，但主菜鳳梨咕咾雞缺乏明確烹飪手法評估，隱憂為可能的高油或高鹽問題，建議注意調味與烹飪手法以達更健康的餐食。,7,"[""鳳梨咕咾雞"", ""胚芽飯"", ""彩蔬蘿蔔糕"", ""味噌豆腐湯"", ""有機小芥菜"", ""茂谷柑"", ""豆漿""]"
新北市三峽區北大高中,2026-03-31,4,本餐主食、主菜、副菜、蔬菜、湯品均有多樣選擇，營養均衡。亮點為多道菜肴選用全谷物、豆製品、原型葉菜等優質食材，提供豐富纖維、蛋白質與礦物質。然而，隱憂為部分菜肴如結菜黑輪與腐皮白菜含有高加工、高鈉成分，酸菜肉絲湯中的酸菜也可能導致高鈉攝取。整體而言，本餐仍屬於均衡且營養的餐次，但建議注意控制高加工、高鈉食材的攝取量。,12,"[""麻油雞"", ""白飯"", ""結菜黑輪"", ""酸菜肉絲湯"", ""滷香百頁(素)"", ""小米飯(素)"", ""哨子豆腐(素)"", ""履歷油麥菜(素)"", ""扁豆蔬菜湯(素)"", ""腐皮白菜(素)"", ""蒸蛋A"", ""履歷油麥菜""]"
新北市三峽區大埔國小,2026-03-31,4,本餐主食、主蛋白、蔬菜、湯品與水果齊全，搭配均衡。亮點為清燙履歷油麥菜保留纖維與礦物質，大埔小番茄富含維生素，紅藜麥飯提供全穀類纖維與營養。隱憂為海鮮排加工度高，麻婆豆腐可能高油，地瓜圓甜湯略甜。整體屬均衡偏健康的一餐，建議注意油脂攝取量。,6,"[""海鮮排"", ""紅藜麥飯"", ""麻婆豆腐"", ""地瓜圓甜湯"", ""履歷油麥菜"", ""大埔小番茄""]"
